,lamda_com,lamda_atc,lamda_pro,AUC
246,0.5,0.001,0.9,0.848208245
247,0.5,0.01,0.9,0.858943957
248,0.5,0.1,0.9,0.864705649
249,0.5,0.3,0.9,0.861029748
250,0.5,0.5,0.9,0.857592152
251,0.5,0.7,0.9,0.863810938
252,0.5,0.9,0.9,0.862931608
253,0.7,0.001,0.001,0.851878131
254,0.7,0.01,0.001,0.852304656
255,0.7,0.1,0.001,0.865710214
256,0.7,0.3,0.001,0.859804249
257,0.7,0.5,0.001,0.862469889
258,0.7,0.7,0.001,0.858787994
259,0.7,0.9,0.001,0.859855742
260,0.7,0.001,0.01,0.845746658
261,0.7,0.01,0.01,0.8535055
262,0.7,0.1,0.01,0.861341785
263,0.7,0.3,0.01,0.861164286
264,0.7,0.5,0.01,0.861070372
265,0.7,0.7,0.01,0.861371675
266,0.7,0.9,0.01,0.85799083
267,0.7,0.001,0.1,0.848700061
268,0.7,0.01,0.1,0.852391862
269,0.7,0.1,0.1,0.862794326
270,0.7,0.3,0.1,0.862829557
271,0.7,0.5,0.1,0.864434123
272,0.7,0.7,0.1,0.859660633
273,0.7,0.9,0.1,0.860297987
274,0.7,0.001,0.3,0.848399802
275,0.7,0.01,0.3,0.853053947
276,0.7,0.1,0.3,0.862267687
277,0.7,0.3,0.3,0.858842443
278,0.7,0.5,0.3,0.861495483
279,0.7,0.7,0.3,0.858375297
280,0.7,0.9,0.3,0.859706147
281,0.7,0.001,0.5,0.843689224
282,0.7,0.01,0.5,0.852264536
283,0.7,0.1,0.5,0.864841411
284,0.7,0.3,0.5,0.860814279
285,0.7,0.5,0.5,0.859662311
286,0.7,0.7,0.5,0.863150481
287,0.7,0.9,0.5,0.857519337
288,0.7,0.001,0.7,0.84839875
289,0.7,0.01,0.7,0.855257616
290,0.7,0.1,0.7,0.865180065
291,0.7,0.3,0.7,0.86804878
292,0.7,0.5,0.7,0.858537573
293,0.7,0.7,0.7,0.866116512
294,0.7,0.9,0.7,0.86091385
295,0.7,0.001,0.9,0.84715133
296,0.7,0.01,0.9,0.852223145
297,0.7,0.1,0.9,0.864675271
298,0.7,0.3,0.9,0.863515558
299,0.7,0.5,0.9,0.860931079
300,0.7,0.7,0.9,0.863964073
301,0.7,0.9,0.9,0.85559948
302,0.9,0.001,0.001,0.848597883
303,0.9,0.01,0.001,0.850857608
304,0.9,0.1,0.001,0.86038281
305,0.9,0.3,0.001,0.854985453
306,0.9,0.5,0.001,0.86029489
307,0.9,0.7,0.001,0.866429751
308,0.9,0.9,0.001,0.860780301
309,0.9,0.001,0.01,0.845911685
310,0.9,0.01,0.01,0.848581274
311,0.9,0.1,0.01,0.862867179
312,0.9,0.3,0.01,0.861872543
313,0.9,0.5,0.01,0.859925243
314,0.9,0.7,0.01,0.864370032
315,0.9,0.9,0.01,0.86255948
316,0.9,0.001,0.1,0.842472554
317,0.9,0.01,0.1,0.846579528
318,0.9,0.1,0.1,0.857522471
319,0.9,0.3,0.1,0.862467888
320,0.9,0.5,0.1,0.860285004
321,0.9,0.7,0.1,0.853089274
322,0.9,0.9,0.1,0.859896286
323,0.9,0.001,0.3,0.845835901
324,0.9,0.01,0.3,0.853821137
325,0.9,0.1,0.3,0.864018207
326,0.9,0.3,0.3,0.863256484
327,0.9,0.5,0.3,0.862653081
328,0.9,0.7,0.3,0.864922274
329,0.9,0.9,0.3,0.860781088
330,0.9,0.001,0.5,0.846845699
331,0.9,0.01,0.5,0.85021877
332,0.9,0.1,0.5,0.863505734
333,0.9,0.3,0.5,0.860794259
334,0.9,0.5,0.5,0.857037201
335,0.9,0.7,0.5,0.859324302
336,0.9,0.9,0.5,0.859604269
337,0.9,0.001,0.7,0.844124605
338,0.9,0.01,0.7,0.850252875
339,0.9,0.1,0.7,0.863727785
340,0.9,0.3,0.7,0.863304693
341,0.9,0.5,0.7,0.861965453
342,0.9,0.7,0.7,0.854360372
343,0.9,0.9,0.7,0.858548039
344,0.9,0.001,0.9,0.845845456
345,0.9,0.01,0.9,0.849891653
346,0.9,0.1,0.9,0.861984502
347,0.9,0.3,0.9,0.861420226
348,0.9,0.5,0.9,0.860401914
349,0.9,0.7,0.9,0.861345365
350,0.9,0.9,0.9,0.861984513
